batch,condition,n,prompt_delta_strong_EM_vs_base,prompt_strong_W_to_R,prompt_strong_R_to_W,prompt_strong_net,prompt_strong_gain_freq,prompt_strong_loss_freq,prompt_strong_net_freq,prompt_delta_base_answerer_EM_vs_base,prompt_baseans_W_to_R,prompt_baseans_R_to_W,prompt_baseans_net,prompt_baseans_gain_freq,prompt_baseans_loss_freq,prompt_baseans_net_freq,prompt_delta_support_recall_vs_base,prompt_delta_missing_recovery_vs_base,support_recall_base,support_recall_cond,missing_recovery_base,missing_recovery_cond
0,base,300,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6516666666666666,0.6516666666666666,0.12307692307692308,0.12307692307692308
0,delta_p_custom_signed,300,0.0033333333333332993,11,10,1,0.03666666666666667,0.03333333333333333,0.003333333333333334,0.003333333333333327,12,11,1,0.04,0.03666666666666667,0.003333333333333334,0.03166666666666673,0.13076923076923075,0.6516666666666666,0.6833333333333333,0.12307692307692308,0.25384615384615383
0,endpoint_delta_custom_signed,300,0.006666666666666599,12,10,2,0.04,0.03333333333333333,0.006666666666666668,0.006666666666666654,15,13,2,0.05,0.043333333333333335,0.006666666666666668,0.0,0.038461538461538464,0.6516666666666666,0.6516666666666666,0.12307692307692308,0.16153846153846155
0,delta_p_neg_only,300,-0.00666666666666671,10,12,-2,0.03333333333333333,0.04,-0.006666666666666668,0.013333333333333336,14,10,4,0.04666666666666667,0.03333333333333333,0.013333333333333336,0.00666666666666671,0.08461538461538462,0.6516666666666666,0.6583333333333333,0.12307692307692308,0.2076923076923077
0,endpoint_delta_neg_only,300,0.020000000000000018,17,11,6,0.056666666666666664,0.03666666666666667,0.019999999999999997,0.01999999999999999,22,16,6,0.07333333333333333,0.05333333333333334,0.019999999999999997,0.0,0.06153846153846154,0.6516666666666666,0.6516666666666666,0.12307692307692308,0.18461538461538463
0,endpoint_delta_contrastive_raw_C,300,0.013333333333333308,13,9,4,0.043333333333333335,0.03,0.013333333333333336,0.0,14,14,0,0.04666666666666667,0.04666666666666667,0.0,-0.03166666666666662,0.015384615384615385,0.6516666666666666,0.62,0.12307692307692308,0.13846153846153847
1,base,300,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6416666666666667,0.6416666666666667,0.023076923076923078,0.023076923076923078
1,delta_p_custom_signed,300,0.010000000000000009,15,12,3,0.05,0.04,0.010000000000000002,-0.009999999999999981,16,19,-3,0.05333333333333334,0.06333333333333334,-0.010000000000000002,0.06999999999999995,0.14615384615384616,0.6416666666666667,0.7116666666666667,0.023076923076923078,0.16923076923076924
1,endpoint_delta_custom_signed,300,0.013333333333333308,12,8,4,0.04,0.02666666666666667,0.013333333333333332,-0.023333333333333317,12,19,-7,0.04,0.06333333333333334,-0.023333333333333338,0.05333333333333323,0.08461538461538462,0.6416666666666667,0.695,0.023076923076923078,0.1076923076923077
1,delta_p_neg_only,300,0.010000000000000009,14,11,3,0.04666666666666667,0.03666666666666667,0.010000000000000002,-0.009999999999999981,16,19,-3,0.05333333333333334,0.06333333333333334,-0.010000000000000002,-0.0050000000000000044,0.14615384615384616,0.6416666666666667,0.6366666666666667,0.023076923076923078,0.16923076923076924
1,endpoint_delta_neg_only,300,0.00666666666666671,11,9,2,0.03666666666666667,0.03,0.006666666666666668,-0.006666666666666654,13,15,-2,0.043333333333333335,0.05,-0.006666666666666668,0.02833333333333332,0.17692307692307693,0.6416666666666667,0.67,0.023076923076923078,0.2
1,endpoint_delta_contrastive_raw_C,300,0.010000000000000009,14,11,3,0.04666666666666667,0.03666666666666667,0.010000000000000002,-0.03666666666666665,11,22,-11,0.03666666666666667,0.07333333333333333,-0.03666666666666667,0.004999999999999893,0.1,0.6416666666666667,0.6466666666666666,0.023076923076923078,0.12307692307692308
2,base,300,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6416666666666667,0.6416666666666667,0.1076923076923077,0.1076923076923077
2,delta_p_custom_signed,300,0.020000000000000018,19,13,6,0.06333333333333334,0.043333333333333335,0.020000000000000004,-0.016666666666666663,14,19,-5,0.04666666666666667,0.06333333333333334,-0.01666666666666667,-0.0050000000000000044,0.13846153846153847,0.6416666666666667,0.6366666666666667,0.1076923076923077,0.24615384615384617
2,endpoint_delta_custom_signed,300,0.023333333333333317,15,8,7,0.05,0.02666666666666667,0.023333333333333334,-0.013333333333333336,14,18,-4,0.04666666666666667,0.06,-0.013333333333333329,-0.0050000000000000044,0.05384615384615385,0.6416666666666667,0.6366666666666667,0.1076923076923077,0.16153846153846155
2,delta_p_neg_only,300,0.01666666666666672,15,10,5,0.05,0.03333333333333333,0.01666666666666667,-0.010000000000000009,17,20,-3,0.056666666666666664,0.06666666666666667,-0.010000000000000002,0.018333333333333313,0.06153846153846154,0.6416666666666667,0.66,0.1076923076923077,0.16923076923076924
2,endpoint_delta_neg_only,300,0.0,12,12,0,0.04,0.04,0.0,0.003333333333333327,19,18,1,0.06333333333333334,0.06,0.003333333333333341,-0.03500000000000003,0.08927738927738926,0.6416666666666667,0.6066666666666667,0.1076923076923077,0.19696969696969696
2,endpoint_delta_contrastive_raw_C,300,0.0,11,11,0,0.03666666666666667,0.03666666666666667,0.0,-0.003333333333333327,17,18,-1,0.056666666666666664,0.06,-0.003333333333333334,0.021666666666666612,0.07692307692307693,0.6416666666666667,0.6633333333333333,0.1076923076923077,0.18461538461538463
