scope,batch_id,condition,n,MR,support,base_EM,strong_EM,W_to_R_count,R_to_W_count,net_count,flip_rate
batch0,0,base,10.0,0.0,0.7,0.2,0.5,3.0,0.0,3.0,0.3
batch0,0,delta_p_contrastive_raw_C,10.0,0.0,0.7,0.2,0.5,3.0,0.0,3.0,0.3
batch0,0,delta_p_custom_preserve,10.0,0.16666666666666666,0.7,0.1,0.5,4.0,0.0,4.0,0.4
batch0,0,delta_p_custom_signed,10.0,0.0,0.7,0.2,0.4,2.0,0.0,2.0,0.2
batch0,0,delta_p_neg_only,10.0,0.0,0.7,0.1,0.6,5.0,0.0,5.0,0.5
batch0,0,endpoint_delta_contrastive_raw_C,10.0,0.16666666666666666,0.7,0.1,0.4,3.0,0.0,3.0,0.3
batch0,0,endpoint_delta_custom_preserve,10.0,0.3333333333333333,0.7,0.1,0.5,4.0,0.0,4.0,0.4
batch0,0,endpoint_delta_custom_signed,10.0,0.3333333333333333,0.7,0.2,0.5,3.0,0.0,3.0,0.3
batch0,0,endpoint_delta_neg_only,10.0,0.16666666666666666,0.7,0.2,0.5,3.0,0.0,3.0,0.3
batch1,1,base,10.0,0.16666666666666666,0.7,0.0,0.3,3.0,0.0,3.0,0.3
batch1,1,delta_p_contrastive_raw_C,10.0,0.3333333333333333,0.7,0.0,0.4,4.0,0.0,4.0,0.4
batch1,1,delta_p_custom_preserve,10.0,0.16666666666666666,0.7,0.0,0.5,5.0,0.0,5.0,0.5
batch1,1,delta_p_custom_signed,10.0,0.16666666666666666,0.7,0.0,0.4,4.0,0.0,4.0,0.4
batch1,1,delta_p_neg_only,10.0,0.16666666666666666,0.7,0.0,0.4,4.0,0.0,4.0,0.4
batch1,1,endpoint_delta_contrastive_raw_C,10.0,0.3333333333333333,0.7,0.0,0.4,4.0,0.0,4.0,0.4
batch1,1,endpoint_delta_custom_preserve,10.0,0.3333333333333333,0.7,0.1,0.5,4.0,0.0,4.0,0.4
batch1,1,endpoint_delta_custom_signed,10.0,0.16666666666666666,0.7,0.1,0.6,5.0,0.0,5.0,0.5
batch1,1,endpoint_delta_neg_only,10.0,0.3333333333333333,0.7,0.0,0.5,5.0,0.0,5.0,0.5
batch2,2,base,10.0,0.0,0.6,0.1,0.3,2.0,0.0,2.0,0.2
batch2,2,delta_p_contrastive_raw_C,10.0,0.0,0.6,0.1,0.3,2.0,0.0,2.0,0.2
batch2,2,delta_p_custom_preserve,10.0,0.16666666666666666,0.6,0.1,0.3,2.0,0.0,2.0,0.2
batch2,2,delta_p_custom_signed,10.0,0.16666666666666666,0.6,0.1,0.4,3.0,0.0,3.0,0.3
batch2,2,delta_p_neg_only,10.0,0.0,0.6,0.1,0.3,2.0,0.0,2.0,0.2
batch2,2,endpoint_delta_contrastive_raw_C,10.0,0.0,0.6,0.1,0.4,3.0,0.0,3.0,0.3
batch2,2,endpoint_delta_custom_preserve,10.0,0.25,0.6,0.1,0.5,4.0,0.0,4.0,0.4
batch2,2,endpoint_delta_custom_signed,10.0,0.16666666666666666,0.6,0.1,0.5,4.0,0.0,4.0,0.4
batch2,2,endpoint_delta_neg_only,10.0,0.14285714285714285,0.6,0.1,0.5,4.0,0.0,4.0,0.4
full143,0,base,143.0,0.09230769230769231,0.7517482517482518,0.14685314685314685,0.46153846153846156,45.0,0.0,45.0,0.3146853146853147
full143,0,delta_p_contrastive_raw_C,143.0,0.18461538461538463,0.7517482517482518,0.1258741258741259,0.46853146853146854,50.0,1.0,49.0,0.35664335664335667
full143,0,delta_p_custom_preserve,143.0,0.2,0.7517482517482518,0.1888111888111888,0.4965034965034965,44.0,0.0,44.0,0.3076923076923077
full143,0,delta_p_custom_signed,143.0,0.15384615384615385,0.7517482517482518,0.1888111888111888,0.4825174825174825,42.0,0.0,42.0,0.2937062937062937
full143,0,delta_p_neg_only,143.0,0.2076923076923077,0.7517482517482518,0.13986013986013987,0.4965034965034965,51.0,0.0,51.0,0.35664335664335667
full143,0,endpoint_delta_contrastive_raw_C,143.0,0.11538461538461539,0.7517482517482518,0.17482517482517482,0.4965034965034965,46.0,0.0,46.0,0.32167832167832167
full143,0,endpoint_delta_custom_preserve,143.0,0.2846153846153846,0.7517482517482518,0.16083916083916083,0.48951048951048953,47.0,0.0,47.0,0.32867132867132864
full143,0,endpoint_delta_custom_signed,143.0,0.19230769230769232,0.7517482517482518,0.1258741258741259,0.48951048951048953,52.0,0.0,52.0,0.36363636363636365
full143,0,endpoint_delta_neg_only,143.0,0.26153846153846155,0.7517482517482518,0.13286713286713286,0.46853146853146854,48.0,0.0,48.0,0.3356643356643357
full143,1,base,143.0,0.023076923076923078,0.7517482517482518,0.15384615384615385,0.4825174825174825,47.0,0.0,47.0,0.32867132867132864
full143,1,delta_p_contrastive_raw_C,143.0,0.17692307692307693,0.7517482517482518,0.16783216783216784,0.46153846153846156,42.0,0.0,42.0,0.2937062937062937
full143,1,delta_p_custom_preserve,143.0,0.19230769230769232,0.7517482517482518,0.16083916083916083,0.46153846153846156,44.0,1.0,43.0,0.3146853146853147
full143,1,delta_p_custom_signed,143.0,0.16923076923076924,0.7517482517482518,0.14685314685314685,0.4825174825174825,48.0,0.0,48.0,0.3356643356643357
full143,1,delta_p_neg_only,143.0,0.16923076923076924,0.7517482517482518,0.14685314685314685,0.4825174825174825,49.0,1.0,48.0,0.34965034965034963
full143,1,endpoint_delta_contrastive_raw_C,143.0,0.12307692307692308,0.7517482517482518,0.13286713286713286,0.4825174825174825,50.0,0.0,50.0,0.34965034965034963
full143,1,endpoint_delta_custom_preserve,143.0,0.13846153846153847,0.7517482517482518,0.13286713286713286,0.48951048951048953,52.0,1.0,51.0,0.3706293706293706
full143,1,endpoint_delta_custom_signed,143.0,0.1076923076923077,0.7517482517482518,0.14685314685314685,0.4755244755244755,47.0,0.0,47.0,0.32867132867132864
full143,1,endpoint_delta_neg_only,143.0,0.2,0.7517482517482518,0.16783216783216784,0.4755244755244755,44.0,0.0,44.0,0.3076923076923077
full143,2,base,143.0,0.1076923076923077,0.7517482517482518,0.15384615384615385,0.46153846153846156,44.0,0.0,44.0,0.3076923076923077
full143,2,delta_p_contrastive_raw_C,143.0,0.2076923076923077,0.7517482517482518,0.15384615384615385,0.4825174825174825,47.0,0.0,47.0,0.32867132867132864
full143,2,delta_p_custom_preserve,143.0,0.18461538461538463,0.7517482517482518,0.1958041958041958,0.4755244755244755,41.0,1.0,40.0,0.2937062937062937
full143,2,delta_p_custom_signed,143.0,0.24615384615384617,0.7517482517482518,0.14685314685314685,0.5174825174825175,53.0,0.0,53.0,0.3706293706293706
full143,2,delta_p_neg_only,143.0,0.16923076923076924,0.7517482517482518,0.1048951048951049,0.4965034965034965,56.0,0.0,56.0,0.3916083916083916
full143,2,endpoint_delta_contrastive_raw_C,143.0,0.18461538461538463,0.7517482517482518,0.16083916083916083,0.46153846153846156,43.0,0.0,43.0,0.3006993006993007
full143,2,endpoint_delta_custom_preserve,143.0,0.1590909090909091,0.7517482517482518,0.13986013986013987,0.4755244755244755,49.0,1.0,48.0,0.34965034965034963
full143,2,endpoint_delta_custom_signed,143.0,0.16153846153846155,0.7517482517482518,0.13986013986013987,0.4965034965034965,52.0,1.0,51.0,0.3706293706293706
full143,2,endpoint_delta_neg_only,143.0,0.2,0.7517482517482518,0.17482517482517482,0.4755244755244755,43.0,0.0,43.0,0.3006993006993007
