scope,condition,batches,n_mean,MR,support,base_EM,strong_EM,W_to_R,R_to_W,net,flip_rate
batch0,base,1,10.0,0.0,0.7,0.2,0.5,3.0,0.0,3.0,0.3
batch0,delta_p_contrastive_raw_C,1,10.0,0.0,0.7,0.2,0.5,3.0,0.0,3.0,0.3
batch0,delta_p_custom_preserve,1,10.0,0.16666666666666666,0.7,0.1,0.5,4.0,0.0,4.0,0.4
batch0,delta_p_custom_signed,1,10.0,0.0,0.7,0.2,0.4,2.0,0.0,2.0,0.2
batch0,delta_p_neg_only,1,10.0,0.0,0.7,0.1,0.6,5.0,0.0,5.0,0.5
batch0,endpoint_delta_contrastive_raw_C,1,10.0,0.16666666666666666,0.7,0.1,0.4,3.0,0.0,3.0,0.3
batch0,endpoint_delta_custom_preserve,1,10.0,0.3333333333333333,0.7,0.1,0.5,4.0,0.0,4.0,0.4
batch0,endpoint_delta_custom_signed,1,10.0,0.3333333333333333,0.7,0.2,0.5,3.0,0.0,3.0,0.3
batch0,endpoint_delta_neg_only,1,10.0,0.16666666666666666,0.7,0.2,0.5,3.0,0.0,3.0,0.3
batch1,base,1,10.0,0.16666666666666666,0.7,0.0,0.3,3.0,0.0,3.0,0.3
batch1,delta_p_contrastive_raw_C,1,10.0,0.3333333333333333,0.7,0.0,0.4,4.0,0.0,4.0,0.4
batch1,delta_p_custom_preserve,1,10.0,0.16666666666666666,0.7,0.0,0.5,5.0,0.0,5.0,0.5
batch1,delta_p_custom_signed,1,10.0,0.16666666666666666,0.7,0.0,0.4,4.0,0.0,4.0,0.4
batch1,delta_p_neg_only,1,10.0,0.16666666666666666,0.7,0.0,0.4,4.0,0.0,4.0,0.4
batch1,endpoint_delta_contrastive_raw_C,1,10.0,0.3333333333333333,0.7,0.0,0.4,4.0,0.0,4.0,0.4
batch1,endpoint_delta_custom_preserve,1,10.0,0.3333333333333333,0.7,0.1,0.5,4.0,0.0,4.0,0.4
batch1,endpoint_delta_custom_signed,1,10.0,0.16666666666666666,0.7,0.1,0.6,5.0,0.0,5.0,0.5
batch1,endpoint_delta_neg_only,1,10.0,0.3333333333333333,0.7,0.0,0.5,5.0,0.0,5.0,0.5
batch2,base,1,10.0,0.0,0.6,0.1,0.3,2.0,0.0,2.0,0.2
batch2,delta_p_contrastive_raw_C,1,10.0,0.0,0.6,0.1,0.3,2.0,0.0,2.0,0.2
batch2,delta_p_custom_preserve,1,10.0,0.16666666666666666,0.6,0.1,0.3,2.0,0.0,2.0,0.2
batch2,delta_p_custom_signed,1,10.0,0.16666666666666666,0.6,0.1,0.4,3.0,0.0,3.0,0.3
batch2,delta_p_neg_only,1,10.0,0.0,0.6,0.1,0.3,2.0,0.0,2.0,0.2
batch2,endpoint_delta_contrastive_raw_C,1,10.0,0.0,0.6,0.1,0.4,3.0,0.0,3.0,0.3
batch2,endpoint_delta_custom_preserve,1,10.0,0.25,0.6,0.1,0.5,4.0,0.0,4.0,0.4
batch2,endpoint_delta_custom_signed,1,10.0,0.16666666666666666,0.6,0.1,0.5,4.0,0.0,4.0,0.4
batch2,endpoint_delta_neg_only,1,10.0,0.14285714285714285,0.6,0.1,0.5,4.0,0.0,4.0,0.4
full143,base,3,143.0,0.07435897435897436,0.7517482517482518,0.15151515151515152,0.46853146853146854,45.333333333333336,0.0,45.333333333333336,0.317016317016317
full143,delta_p_contrastive_raw_C,3,143.0,0.18974358974358974,0.7517482517482518,0.1491841491841492,0.47086247086247085,46.333333333333336,0.3333333333333333,46.0,0.32634032634032634
full143,delta_p_custom_preserve,3,143.0,0.19230769230769232,0.7517482517482518,0.1818181818181818,0.47785547785547783,43.0,0.6666666666666666,42.333333333333336,0.30536130536130535
full143,delta_p_custom_signed,3,143.0,0.18974358974358974,0.7517482517482518,0.16083916083916083,0.49417249417249415,47.666666666666664,0.0,47.666666666666664,0.3333333333333333
full143,delta_p_neg_only,3,143.0,0.18205128205128207,0.7517482517482518,0.13053613053613053,0.4918414918414918,52.0,0.3333333333333333,51.666666666666664,0.36596736596736595
full143,endpoint_delta_contrastive_raw_C,3,143.0,0.14102564102564105,0.7517482517482518,0.1561771561771562,0.4801864801864802,46.333333333333336,0.0,46.333333333333336,0.324009324009324
full143,endpoint_delta_custom_preserve,3,143.0,0.19405594405594406,0.7517482517482518,0.1445221445221445,0.48484848484848486,49.333333333333336,0.6666666666666666,48.666666666666664,0.34965034965034963
full143,endpoint_delta_custom_signed,3,143.0,0.15384615384615385,0.7517482517482518,0.13752913752913754,0.4871794871794872,50.333333333333336,0.3333333333333333,50.0,0.3543123543123543
full143,endpoint_delta_neg_only,3,143.0,0.22051282051282053,0.7517482517482518,0.1585081585081585,0.4731934731934732,45.0,0.0,45.0,0.3146853146853147
