batch,condition,base300,gain_freq_300,loss_freq_300,net_freq_300,raw_est300,raw_delta,W_retrieval_W2R,W_other_W2R,C_clean_R2W,C_fragile_R2W
0,base,0.63,0.02846153846153846,0.0,0.02846153846153846,0.6584615384615384,0.028461538461538427,0.07692307692307693,0.07692307692307693,0.0,0.0
0,delta_p_contrastive_raw_C,0.63,0.03743589743589743,0.0,0.03743589743589743,0.6674358974358975,0.03743589743589748,0.05128205128205128,0.1282051282051282,0.0,0.0
0,delta_p_custom_preserve,0.63,0.02564102564102564,0.0,0.02564102564102564,0.6556410256410257,0.02564102564102566,0.10256410256410256,0.05128205128205128,0.0,0.0
0,delta_p_custom_signed,0.63,0.03743589743589743,0.0,0.03743589743589743,0.6674358974358975,0.03743589743589748,0.05128205128205128,0.1282051282051282,0.0,0.0
0,delta_p_neg_only,0.63,0.038461538461538464,0.0,0.038461538461538464,0.6684615384615384,0.038461538461538436,0.15384615384615385,0.07692307692307693,0.0,0.0
0,endpoint_delta_contrastive_raw_C,0.63,0.040769230769230766,0.0,0.040769230769230766,0.6707692307692308,0.04076923076923078,0.07692307692307693,0.1282051282051282,0.0,0.0
0,endpoint_delta_custom_preserve,0.63,0.03230769230769231,0.0,0.03230769230769231,0.6623076923076923,0.03230769230769226,0.15384615384615385,0.05128205128205128,0.0,0.0
0,endpoint_delta_custom_signed,0.63,0.04128205128205128,0.0,0.04128205128205128,0.6712820512820513,0.04128205128205131,0.1282051282051282,0.10256410256410256,0.0,0.0
0,endpoint_delta_neg_only,0.63,0.03461538461538461,0.0,0.03461538461538461,0.6646153846153846,0.0346153846153846,0.07692307692307693,0.10256410256410256,0.0,0.0
1,base,0.63,0.040769230769230766,0.0,0.040769230769230766,0.6707692307692308,0.04076923076923078,0.07692307692307693,0.1282051282051282,0.0,0.0
1,delta_p_contrastive_raw_C,0.63,0.019487179487179485,0.0,0.019487179487179485,0.6494871794871795,0.019487179487179485,0.10256410256410256,0.02564102564102564,0.0,0.0
1,delta_p_custom_preserve,0.63,0.01282051282051282,0.0,0.01282051282051282,0.6428205128205128,0.012820512820512775,0.05128205128205128,0.02564102564102564,0.0,0.0
1,delta_p_custom_signed,0.63,0.0441025641025641,0.0,0.0441025641025641,0.6741025641025641,0.04410256410256408,0.10256410256410256,0.1282051282051282,0.0,0.0
1,delta_p_neg_only,0.63,0.037948717948717944,0.0033333333333333335,0.03461538461538461,0.6646153846153846,0.0346153846153846,0.10256410256410256,0.10256410256410256,0.0,0.038461538461538464
1,endpoint_delta_contrastive_raw_C,0.63,0.047435897435897434,0.0,0.047435897435897434,0.6774358974358974,0.04743589743589738,0.1282051282051282,0.1282051282051282,0.0,0.0
1,endpoint_delta_custom_preserve,0.63,0.04128205128205128,0.013931623931623933,0.027350427350427343,0.6573504273504274,0.027350427350427364,0.1282051282051282,0.10256410256410256,0.02564102564102564,0.0
1,endpoint_delta_custom_signed,0.63,0.02564102564102564,0.0,0.02564102564102564,0.6556410256410257,0.02564102564102566,0.10256410256410256,0.05128205128205128,0.0,0.0
1,endpoint_delta_neg_only,0.63,0.025128205128205128,0.0,0.025128205128205128,0.6551282051282051,0.025128205128205128,0.05128205128205128,0.07692307692307693,0.0,0.0
2,base,0.63,0.04128205128205128,0.0,0.04128205128205128,0.6712820512820513,0.04128205128205131,0.1282051282051282,0.10256410256410256,0.0,0.0
2,delta_p_contrastive_raw_C,0.63,0.03512820512820513,0.0,0.03512820512820513,0.6651282051282051,0.03512820512820514,0.1282051282051282,0.07692307692307693,0.0,0.0
2,delta_p_custom_preserve,0.63,0.02564102564102564,0.013931623931623933,0.011709401709401707,0.6417094017094017,0.011709401709401712,0.10256410256410256,0.05128205128205128,0.02564102564102564,0.0
2,delta_p_custom_signed,0.63,0.057435897435897436,0.0,0.057435897435897436,0.6874358974358974,0.05743589743589739,0.20512820512820512,0.1282051282051282,0.0,0.0
2,delta_p_neg_only,0.63,0.04461538461538461,0.0,0.04461538461538461,0.6746153846153846,0.04461538461538461,0.15384615384615385,0.10256410256410256,0.0,0.0
2,endpoint_delta_contrastive_raw_C,0.63,0.031282051282051276,0.0,0.031282051282051276,0.6612820512820513,0.031282051282051304,0.05128205128205128,0.10256410256410256,0.0,0.0
2,endpoint_delta_custom_preserve,0.63,0.04128205128205128,0.013931623931623933,0.027350427350427343,0.6573504273504274,0.027350427350427364,0.1282051282051282,0.10256410256410256,0.02564102564102564,0.0
2,endpoint_delta_custom_signed,0.63,0.047435897435897434,0.0,0.047435897435897434,0.6774358974358974,0.04743589743589738,0.1282051282051282,0.1282051282051282,0.0,0.0
2,endpoint_delta_neg_only,0.63,0.02564102564102564,0.0,0.02564102564102564,0.6556410256410257,0.02564102564102566,0.10256410256410256,0.05128205128205128,0.0,0.0
