condition,batches,raw_est300_mean,raw_est300_se,raw_delta_mean,raw_delta_se,gain_freq_mean,gain_freq_se,loss_freq_mean,loss_freq_se,net_freq_mean,net_freq_se,W_retrieval_W2R_mean,W_other_W2R_mean,C_clean_R2W_mean,C_fragile_R2W_mean
delta_p_custom_signed,3,0.6763247863247863,0.005879447357921288,0.046324786324786316,0.005879447357921288,0.04632478632478632,0.005879447357921314,0.0,0.0,0.04632478632478632,0.005879447357921314,0.11965811965811966,0.1282051282051282,0.0,0.0
endpoint_delta_contrastive_raw_C,3,0.6698290598290598,0.004686847819095771,0.03982905982905982,0.004686847819095771,0.03982905982905983,0.004686847819095794,0.0,0.0,0.03982905982905983,0.004686847819095794,0.08547008547008546,0.11965811965811964,0.0,0.0
delta_p_neg_only,3,0.6692307692307692,0.00291226069015399,0.039230769230769215,0.00291226069015399,0.04034188034188034,0.002141874202759259,0.0011111111111111111,0.0011111111111111113,0.03923076923076923,0.0029122606901539868,0.13675213675213674,0.09401709401709402,0.0,0.012820512820512822
endpoint_delta_custom_signed,3,0.6681196581196581,0.006487286464665256,0.03811965811965812,0.006487286464665256,0.03811965811965812,0.006487286464665274,0.0,0.0,0.03811965811965812,0.006487286464665274,0.11965811965811964,0.09401709401709402,0.0,0.0
base,3,0.6668376068376068,0.004190649802438057,0.03683760683760684,0.004190649802438057,0.03683760683760683,0.004190649802438038,0.0,0.0,0.03683760683760683,0.004190649802438038,0.09401709401709402,0.10256410256410257,0.0,0.0
delta_p_contrastive_raw_C,3,0.6606837606837607,0.005637787208218979,0.0306837606837607,0.005637787208218979,0.03068376068376068,0.005637787208218969,0.0,0.0,0.03068376068376068,0.005637787208218969,0.09401709401709402,0.07692307692307691,0.0,0.0
endpoint_delta_custom_preserve,3,0.659002849002849,0.0016524216524216317,0.029002849002848996,0.0016524216524216317,0.038290598290598284,0.0029914529914529904,0.00928774928774929,0.004643874643874645,0.029002849002848996,0.001652421652421655,0.13675213675213674,0.08547008547008546,0.017094017094017092,0.0
endpoint_delta_neg_only,3,0.6584615384615384,0.003080482271955566,0.028461538461538465,0.003080482271955566,0.028461538461538458,0.0030804822719555716,0.0,0.0,0.028461538461538458,0.0030804822719555716,0.07692307692307693,0.07692307692307693,0.0,0.0
delta_p_custom_preserve,3,0.6467236467236467,0.004470211666964421,0.016723646723646717,0.004470211666964421,0.021367521367521364,0.004273504273504273,0.004643874643874645,0.004643874643874645,0.016723646723646724,0.004470211666964408,0.08547008547008546,0.04273504273504273,0.008547008547008546,0.0
