condition,bucket,n,base_acc,strong_acc,W2R_rate,R2W_rate,net_rate
base,C_clean,115.0,0.3391304347826087,0.8869565217391304,0.5478260869565217,0.0,0.5478260869565217
base,C_fragile,75.0,0.3333333333333333,0.9466666666666667,0.6133333333333333,0.0,0.6133333333333333
base,W_other,117.0,0.0,0.10256410256410256,0.10256410256410256,0.0,0.10256410256410256
base,W_retrieval,117.0,0.008547008547008548,0.10256410256410256,0.09401709401709402,0.0,0.09401709401709402
delta_p_contrastive_raw_C,C_clean,117.0,0.29914529914529914,0.8888888888888888,0.5897435897435898,0.0,0.5897435897435898
delta_p_contrastive_raw_C,C_fragile,78.0,0.3076923076923077,0.9487179487179487,0.6410256410256411,0.0,0.6410256410256411
delta_p_contrastive_raw_C,W_other,117.0,0.008547008547008548,0.07692307692307693,0.07692307692307693,0.008547008547008548,0.06837606837606838
delta_p_contrastive_raw_C,W_retrieval,116.0,0.034482758620689655,0.12931034482758622,0.09482758620689655,0.0,0.09482758620689655
delta_p_custom_preserve,C_clean,117.0,0.39316239316239315,0.9401709401709402,0.5555555555555556,0.008547008547008548,0.5470085470085471
delta_p_custom_preserve,C_fragile,72.0,0.3333333333333333,0.9583333333333334,0.625,0.0,0.625
delta_p_custom_preserve,W_other,93.0,0.010752688172043012,0.043010752688172046,0.03225806451612903,0.0,0.03225806451612903
delta_p_custom_preserve,W_retrieval,77.0,0.03896103896103896,0.1038961038961039,0.07792207792207792,0.012987012987012988,0.06493506493506493
delta_p_custom_signed,C_clean,117.0,0.3418803418803419,0.9316239316239316,0.5897435897435898,0.0,0.5897435897435898
delta_p_custom_signed,C_fragile,78.0,0.3333333333333333,0.9102564102564102,0.5769230769230769,0.0,0.5769230769230769
delta_p_custom_signed,W_other,117.0,0.0,0.1282051282051282,0.1282051282051282,0.0,0.1282051282051282
delta_p_custom_signed,W_retrieval,116.0,0.02586206896551724,0.14655172413793102,0.1206896551724138,0.0,0.1206896551724138
delta_p_neg_only,C_clean,117.0,0.26495726495726496,0.9401709401709402,0.6752136752136753,0.0,0.6752136752136753
delta_p_neg_only,C_fragile,78.0,0.3076923076923077,0.9358974358974359,0.6410256410256411,0.01282051282051282,0.6282051282051283
delta_p_neg_only,W_other,117.0,0.0,0.09401709401709402,0.09401709401709402,0.0,0.09401709401709402
delta_p_neg_only,W_retrieval,116.0,0.008620689655172414,0.14655172413793102,0.13793103448275862,0.0,0.13793103448275862
endpoint_delta_contrastive_raw_C,C_clean,117.0,0.3504273504273504,0.8974358974358975,0.5470085470085471,0.0,0.5470085470085471
endpoint_delta_contrastive_raw_C,C_fragile,78.0,0.3076923076923077,0.9615384615384616,0.6538461538461539,0.0,0.6538461538461539
endpoint_delta_contrastive_raw_C,W_other,117.0,0.0,0.11965811965811966,0.11965811965811966,0.0,0.11965811965811966
endpoint_delta_contrastive_raw_C,W_retrieval,113.0,0.017699115044247787,0.10619469026548672,0.08849557522123894,0.0,0.08849557522123894
endpoint_delta_custom_preserve,C_clean,116.0,0.3103448275862069,0.896551724137931,0.5948275862068966,0.008620689655172414,0.5862068965517242
endpoint_delta_custom_preserve,C_fragile,78.0,0.28205128205128205,0.9615384615384616,0.6794871794871795,0.0,0.6794871794871795
endpoint_delta_custom_preserve,W_other,115.0,0.0,0.08695652173913043,0.08695652173913043,0.0,0.08695652173913043
endpoint_delta_custom_preserve,W_retrieval,114.0,0.02631578947368421,0.16666666666666666,0.14035087719298245,0.0,0.14035087719298245
endpoint_delta_custom_signed,C_clean,117.0,0.29914529914529914,0.9145299145299145,0.6153846153846154,0.0,0.6153846153846154
endpoint_delta_custom_signed,C_fragile,78.0,0.2692307692307692,0.9615384615384616,0.6923076923076923,0.0,0.6923076923076923
endpoint_delta_custom_signed,W_other,117.0,0.008547008547008548,0.09401709401709402,0.09401709401709402,0.008547008547008548,0.08547008547008547
endpoint_delta_custom_signed,W_retrieval,117.0,0.017094017094017096,0.13675213675213677,0.11965811965811966,0.0,0.11965811965811966
endpoint_delta_neg_only,C_clean,117.0,0.3333333333333333,0.9145299145299145,0.5811965811965812,0.0,0.5811965811965812
endpoint_delta_neg_only,C_fragile,78.0,0.32051282051282054,0.9487179487179487,0.6282051282051282,0.0,0.6282051282051282
endpoint_delta_neg_only,W_other,117.0,0.008547008547008548,0.08547008547008547,0.07692307692307693,0.0,0.07692307692307693
endpoint_delta_neg_only,W_retrieval,117.0,0.02564102564102564,0.10256410256410256,0.07692307692307693,0.0,0.07692307692307693
