condition,base300,raw_est300,raw_delta,W_retrieval_W2R,W_other_W2R,C_clean_R2W,C_fragile_R2W,calibrated_est300,calibrated_delta
delta_p_custom_signed,0.63,0.6764588859416446,0.0464588859416446,0.1206896551724138,0.1282051282051282,0.0,0.0,0.6396212791040378,0.009621279104037761
endpoint_delta_contrastive_raw_C,0.63,0.6702223734967098,0.04022237349670976,0.08849557522123894,0.11965811965811966,0.0,0.0,0.6333847666591029,0.0033847666591029224
delta_p_neg_only,0.63,0.6693840259357501,0.03938402593575008,0.13793103448275862,0.09401709401709402,0.0,0.01282051282051282,0.6325464190981432,0.0025464190981432377
endpoint_delta_custom_signed,0.63,0.6681196581196581,0.03811965811965812,0.11965811965811966,0.09401709401709402,0.0,0.0,0.6312820512820513,0.0012820512820512775
base,0.63,0.6668376068376068,0.03683760683760684,0.09401709401709402,0.10256410256410256,0.0,0.0,0.63,0.0
endpoint_delta_custom_preserve,0.63,0.664431271206502,0.03443127120650202,0.14035087719298245,0.08695652173913043,0.008620689655172414,0.0,0.6275936643688952,-0.0024063356311048167
delta_p_contrastive_raw_C,0.63,0.660789124668435,0.030789124668434975,0.09482758620689655,0.07692307692307693,0.0,0.0,0.6239515178308281,-0.006048482169171865
endpoint_delta_neg_only,0.63,0.6584615384615384,0.028461538461538427,0.07692307692307693,0.07692307692307693,0.0,0.0,0.6216239316239316,-0.008376068376068413
delta_p_custom_preserve,0.63,0.6432279309698664,0.013227930969866408,0.07792207792207792,0.03225806451612903,0.008547008547008548,0.0,0.6063903241322596,-0.02360967586774043
