batch,scope,condition,n,MR,support_recall_hop2,base_EM,strong_EM,strong_W_to_R,strong_R_to_W,strong_net,strong_flip_rate,base_W_to_R,base_R_to_W,base_net,base_flip_rate
0,batch0,base,10,0.16666666666666666,0.55,0.1,0.4,0,0,0,0.0,0,0,0,0.0
0,batch0,delta_p_custom_preserve,10,0.16666666666666666,0.65,0.2,0.5,1,0,1,0.1,1,0,1,0.1
0,batch0,delta_p_custom_signed,10,0.0,0.45,0.2,0.4,1,1,0,0.2,1,0,1,0.1
0,batch0,delta_p_neg_only,10,0.16666666666666666,0.55,0.2,0.5,1,0,1,0.1,1,0,1,0.1
0,batch0,endpoint_delta_custom_preserve,9,0.2,0.5,0.0,0.4444444444444444,1,0,1,0.1111111111111111,0,0,0,0.0
0,batch0,endpoint_delta_custom_signed,10,0.0,0.55,0.0,0.3,1,2,-1,0.3,0,1,-1,0.1
0,batch0,endpoint_delta_neg_only,10,0.3333333333333333,0.65,0.2,0.5,1,0,1,0.1,1,0,1,0.1
0,full143,base,142,0.12307692307692308,0.5528169014084507,0.1267605633802817,0.45774647887323944,0,0,0,0.0,0,0,0,0.0
0,full143,delta_p_custom_preserve,143,0.23076923076923078,0.6048951048951049,0.1258741258741259,0.45454545454545453,7,8,-1,0.1056338028169014,5,5,0,0.07042253521126761
0,full143,delta_p_custom_signed,143,0.2153846153846154,0.5979020979020979,0.16083916083916083,0.48951048951048953,12,8,4,0.14084507042253522,9,4,5,0.09154929577464789
0,full143,delta_p_neg_only,143,0.18461538461538463,0.5664335664335665,0.13286713286713286,0.4755244755244755,9,7,2,0.11267605633802817,8,7,1,0.1056338028169014
0,full143,endpoint_delta_custom_preserve,141,0.2265625,0.5425531914893617,0.14184397163120568,0.5106382978723404,11,5,6,0.11428571428571428,9,7,2,0.11428571428571428
0,full143,endpoint_delta_custom_signed,142,0.1328125,0.545774647887324,0.14788732394366197,0.5,10,5,5,0.10638297872340426,6,3,3,0.06382978723404255
0,full143,endpoint_delta_neg_only,143,0.23846153846153847,0.5664335664335665,0.16083916083916083,0.4825174825174825,8,5,3,0.09154929577464789,10,5,5,0.1056338028169014
1,batch1,base,9,0.0,0.5555555555555556,0.0,0.3333333333333333,0,0,0,0.0,0,0,0,0.0
1,batch1,delta_p_custom_preserve,10,0.16666666666666666,0.65,0.0,0.5,1,0,1,0.1111111111111111,0,0,0,0.0
1,batch1,delta_p_custom_signed,10,0.16666666666666666,0.65,0.0,0.4,0,0,0,0.0,0,0,0,0.0
1,batch1,delta_p_neg_only,10,0.16666666666666666,0.6,0.0,0.4,0,0,0,0.0,0,0,0,0.0
1,batch1,endpoint_delta_custom_preserve,10,0.3333333333333333,0.65,0.1,0.5,1,0,1,0.1111111111111111,1,0,1,0.1111111111111111
1,batch1,endpoint_delta_custom_signed,10,0.16666666666666666,0.65,0.1,0.6,2,0,2,0.2222222222222222,0,0,0,0.0
1,batch1,endpoint_delta_neg_only,10,0.3333333333333333,0.7,0.0,0.5,1,0,1,0.1111111111111111,0,0,0,0.0
1,full143,base,140,0.0234375,0.5321428571428571,0.15714285714285714,0.4714285714285714,0,0,0,0.0,0,0,0,0.0
1,full143,delta_p_custom_preserve,142,0.1953125,0.6056338028169014,0.1619718309859155,0.4647887323943662,3,6,-3,0.06474820143884892,6,7,-1,0.09352517985611511
1,full143,delta_p_custom_signed,143,0.16923076923076924,0.6048951048951049,0.14685314685314685,0.4825174825174825,7,7,0,0.1,5,7,-2,0.08571428571428572
1,full143,delta_p_neg_only,143,0.16923076923076924,0.5524475524475524,0.14685314685314685,0.4825174825174825,7,7,0,0.1,7,8,-1,0.10714285714285714
1,full143,endpoint_delta_custom_preserve,143,0.13846153846153847,0.5944055944055944,0.13286713286713286,0.48951048951048953,7,6,1,0.09285714285714286,5,8,-3,0.09285714285714286
1,full143,endpoint_delta_custom_signed,143,0.1076923076923077,0.5874125874125874,0.14685314685314685,0.4755244755244755,5,6,-1,0.07857142857142857,5,6,-1,0.07857142857142857
1,full143,endpoint_delta_neg_only,143,0.2,0.5979020979020979,0.16783216783216784,0.4755244755244755,3,4,-1,0.05,8,6,2,0.1
